Student_ID,Attendance_Percent,Math_Marks,Science_Marks,English_Marks,Average_Marks,Performance
S001,92,88,91,86,88.33,Good
S002,85,76,79,82,79.0,Good
S003,78,69,72,70,70.33,Average
S004,95,93,96,90,93.0,Excellent
S005,88,82,85,84,83.67,Good
S006,72,61,65,68,64.67,Average
S007,90,90,88,87,88.33,Good
S008,65,55,59,57,57.0,Needs Improvement
S009,81,73,76,79,76.0,Good
S010,97,95,94,96,95.0,Excellent
S011,75,64,68,71,67.67,Average
S012,84,79,81,78,79.33,Good
S013,69,58,62,61,60.33,Average
S014,91,87,89,85,87.0,Good
S015,87,81,83,80,81.33,Good
S016,79,71,74,73,72.67,Average
S017,94,92,95,91,92.67,Excellent
S018,70,60,63,66,63.0,Average
S019,83,77,80,75,77.33,Good
S020,89,84,86,88,86.0,Good
